Completed,Is_New,Campaign,Campaign_Expires,Campaign_Deadline_KST,Mission_Name,Starting_XI,Performer_Candidates,Goals,Assists,Other_Actions,Results,Min_Matches,Per_Match,Difficulty
,No,Silver TOTS HM Lotta Wrede - EA SPORTS FC 26 Objectives,Expires in 2 hours,5/8 04:00,Score in 2,-,Frauen-Bundesliga,Frauen-Bundesliga: 2경기 각 Goal 1회,-,-,-,2,Yes,Min. Semi-Pro
,No,Silver TOTS HM Lotta Wrede - EA SPORTS FC 26 Objectives,Expires in 2 hours,5/8 04:00,Play 2,Germany ≥1,-,-,-,-,Play 2,2,No,
,No,Evolution Revolution - EA SPORTS FC 26 Objectives,Expires in 2 hours,5/8 04:00,Turbo Strength,TOTS ≥1,-,-,-,-,Win 7,7,No,Min. Semi-Pro
,No,Evolution Revolution - EA SPORTS FC 26 Objectives,Expires in 2 hours,5/8 04:00,Pass IQ,-,TOTS,-,TOTS: 1경기 각 Through Ball Assist 1회,-,-,1,Yes,Min. Semi-Pro
,No,Evolution Revolution - EA SPORTS FC 26 Objectives,Expires in 2 hours,5/8 04:00,From Distance,-,TOTS,TOTS: Outside Box Goal 5회,-,-,-,1,No,Min. Semi-Pro
,No,Evolution Revolution - EA SPORTS FC 26 Objectives,Expires in 2 hours,5/8 04:00,Defensive Instinct,TOTS ≥1,-,-,-,Clean Sheet 5,-,5,No,Min. Semi-Pro
,No,Evolution Revolution - EA SPORTS FC 26 Objectives,Expires in 2 hours,5/8 04:00,Play 5,-,-,-,-,-,Play 5,5,No,
,No,Nike Wildcard Challenge - EA SPORTS FC 26 Objectives,Expires in 6 days,5/14 02:00,Score 3,-,USA,USA: Goal 3회,-,-,-,1,No,
,No,Nike Wildcard Challenge - EA SPORTS FC 26 Objectives,Expires in 6 days,5/14 02:00,Score 5,-,USA,USA: Goal 5회,-,-,-,1,No,
,No,Nike Wildcard Challenge - EA SPORTS FC 26 Objectives,Expires in 6 days,5/14 02:00,Win 3,USA ≥1,-,-,-,-,Win 3,3,No,
,No,Nike Wildcard Challenge - EA SPORTS FC 26 Objectives,Expires in 6 days,5/14 02:00,Play 3,USA ≥1,-,-,-,-,Play 3,3,No,
