Completed,Is_New,Mission_ID,Mode_Group,Campaign,Campaign_Expires,Campaign_Deadline_KST,Campaign_Deadline_ISO,Mission_Name,Starting_XI,Performer_Candidates,Goals,Assists,Other_Actions,Results,Min_Matches,Per_Match,Difficulty,Reward,Raw_Description,Source_URL
,No,O010-04,Squad Battles / Rivals / Champions / Live Events,TOTS HM Sebastián Coates - EA SPORTS FC 26 Objectives,Expires in 8 hours,5/8 10:00,2026-05-08T10:00+09:00,Assist 4,-,Defender,-,Defender: Assist 4회,-,-,1,No,Min. Semi-Pro,Evo Unlock / 100 SP,Assist 4 goals in Squad Battles on Min. Semi-Pro difficulty (or Rivals/Champions/Live Events) using a Defender (Preferred Position).,https://www.fut.gg/objectives/campaigns/858-tots-hm-sebastian-coates/
,No,O010-05,Squad Battles / Rivals / Champions / Live Events,TOTS HM Sebastián Coates - EA SPORTS FC 26 Objectives,Expires in 8 hours,5/8 10:00,2026-05-08T10:00+09:00,Play 10,Uruguay ≥1,-,-,-,-,Play 10,10,No,Min. Semi-Pro,100 SP,Play 10 matches in Squad Battles on Min. Semi-Pro difficulty (or Rivals/Champions/Live Events) while having min. 1 player from Uruguay in your starting 11.,https://www.fut.gg/objectives/campaigns/858-tots-hm-sebastian-coates/
,No,O011-01,Squad Battles / Rivals / Champions / Live Events,Silver TOTS HM Lotta Wrede - EA SPORTS FC 26 Objectives,Expires in 8 hours,5/8 10:00,2026-05-08T10:00+09:00,Win 2,Germany ≥1,-,-,-,-,Win 2,2,No,Min. Semi-Pro,82+ Rare Gold Player Pack / Coin Boost,Win 2 matches in Squad Battles on Min. Semi-Pro difficulty (or Rivals/Champions/Live Events/Rush) while having min. 1 German player in your starting 11.,https://www.fut.gg/objectives/campaigns/859-silver-tots-hm-lotta-wrede/
,No,O011-02,Squad Battles / Rivals / Champions / Live Events,Silver TOTS HM Lotta Wrede - EA SPORTS FC 26 Objectives,Expires in 8 hours,5/8 10:00,2026-05-08T10:00+09:00,Score in 2,-,Frauen-Bundesliga,Frauen-Bundesliga: 2경기 각 Goal 1회,-,-,-,2,Yes,Min. Semi-Pro,Coin Boost / 100 SP,Score at least 1 goal in 2 separate Squad Battles matches on Min. Semi-Pro difficulty (or Rivals/Champions/Live Events/Rush) using a player from the Frauen-Bundesliga.,https://www.fut.gg/objectives/campaigns/859-silver-tots-hm-lotta-wrede/
,No,O011-03,Any Ultimate Team mode,Silver TOTS HM Lotta Wrede - EA SPORTS FC 26 Objectives,Expires in 8 hours,5/8 10:00,2026-05-08T10:00+09:00,Play 2,Germany ≥1,-,-,-,-,Play 2,2,No,,100 SP,Play 2 matches in any Ultimate Team Game mode while having min. 1 German player in your starting 11.,https://www.fut.gg/objectives/campaigns/859-silver-tots-hm-lotta-wrede/
,No,O012-01,Squad Battles / Rivals / Champions / Live Events,Evolution Revolution - EA SPORTS FC 26 Objectives,Expires in 8 hours,5/8 10:00,2026-05-08T10:00+09:00,Turbo Strength,TOTS ≥1,-,-,-,-,Win 7,7,No,Min. Semi-Pro,Evo Unlock / Evo Unlock,Win 7 matches in Squad Battles on Min. Semi-Pro difficulty (or Rivals/Champions/Live Events) while having Min. 1 TOTS player in your starting 11.,https://www.fut.gg/objectives/campaigns/860-evolution-revolution/
,No,O012-02,Squad Battles / Rivals / Champions / Live Events,Evolution Revolution - EA SPORTS FC 26 Objectives,Expires in 8 hours,5/8 10:00,2026-05-08T10:00+09:00,Pass IQ,-,TOTS,-,TOTS: 1경기 각 Through Ball Assist 1회,-,-,1,Yes,Min. Semi-Pro,Evo Unlock / Evo Unlock,Assist 1 goal using through balls in 5 separate Squad Battles matches on Min. Semi-Pro difficulty (or Rivals/Champions/Live Events) using any TOTS player.,https://www.fut.gg/objectives/campaigns/860-evolution-revolution/
,No,O012-03,Squad Battles / Rivals / Champions / Live Events,Evolution Revolution - EA SPORTS FC 26 Objectives,Expires in 8 hours,5/8 10:00,2026-05-08T10:00+09:00,From Distance,-,TOTS,TOTS: Outside Box Goal 5회,-,-,-,1,No,Min. Semi-Pro,Evo Unlock / Evo Unlock,Score 5 goals from outside the box in Squad Battles on Min. Semi-Pro difficulty (or Rivals/Champions/Live Events) using any TOTS player.,https://www.fut.gg/objectives/campaigns/860-evolution-revolution/
,No,O012-04,Squad Battles / Rivals / Champions / Live Events,Evolution Revolution - EA SPORTS FC 26 Objectives,Expires in 8 hours,5/8 10:00,2026-05-08T10:00+09:00,Defensive Instinct,TOTS ≥1,-,-,-,Clean Sheet 5,-,5,No,Min. Semi-Pro,Evo Unlock / 100 SP,Keep 5 clean sheets in Squad Battles on Min. Semi-Pro difficulty (or Rivals/Champions/Live Events/Rush) while having min. 1 TOTS player in your starting 11.,https://www.fut.gg/objectives/campaigns/860-evolution-revolution/
,No,O012-05,Any Ultimate Team mode,Evolution Revolution - EA SPORTS FC 26 Objectives,Expires in 8 hours,5/8 10:00,2026-05-08T10:00+09:00,Play 5,-,-,-,-,-,Play 5,5,No,,100 SP,Play 5 matches in any Ultimate Team game mode.,https://www.fut.gg/objectives/campaigns/860-evolution-revolution/
,No,O013-01,Bundesliga TOTS Exhibition event,Bundesliga TOTS Exhibition - EA SPORTS FC 26 Objectives,Expires in 8 hours,5/8 10:00,2026-05-08T10:00+09:00,Assist in 10,-,-,-,Any: 10경기 각 Assist 1회,-,-,10,Yes,,Evo Unlock / 15X 84+ Rare Gold Players Pack,Assist in 10 separate matches in the Bundesliga TOTS Exhibition event.,https://www.fut.gg/objectives/live-events/861-bundesliga-tots-exhibition/
,No,O013-02,Bundesliga TOTS Exhibition event,Bundesliga TOTS Exhibition - EA SPORTS FC 26 Objectives,Expires in 8 hours,5/8 10:00,2026-05-08T10:00+09:00,Win 8,-,-,-,-,-,Win 8,8,No,,15X 84+ Rare Gold Players Pack / Evo Unlock,Win 8 matches in the Bundesliga TOTS Exhibition event.,https://www.fut.gg/objectives/live-events/861-bundesliga-tots-exhibition/
,No,O013-03,Bundesliga TOTS Exhibition event,Bundesliga TOTS Exhibition - EA SPORTS FC 26 Objectives,Expires in 8 hours,5/8 10:00,2026-05-08T10:00+09:00,Score in 10,-,-,Any: 10경기 각 Goal 1회,-,-,-,10,Yes,,Evo Unlock / 20X 83+ Rare Gold Players Pack,Score a goal in 10 separate matches in the Bundesliga TOTS Exhibition event.,https://www.fut.gg/objectives/live-events/861-bundesliga-tots-exhibition/
,No,O013-04,Bundesliga TOTS Exhibition event,Bundesliga TOTS Exhibition - EA SPORTS FC 26 Objectives,Expires in 8 hours,5/8 10:00,2026-05-08T10:00+09:00,Win 5,-,-,-,-,-,Win 5,5,No,,20X 83+ Rare Gold Players Pack / 10X 83+ Rare Gold Players Pack / 100 SP,Win 5 matches in the Bundesliga TOTS Exhibition event.,https://www.fut.gg/objectives/live-events/861-bundesliga-tots-exhibition/
,No,O013-05,Bundesliga TOTS Exhibition event,Bundesliga TOTS Exhibition - EA SPORTS FC 26 Objectives,Expires in 8 hours,5/8 10:00,2026-05-08T10:00+09:00,Play 10,-,-,-,-,-,Play 10,10,No,,10X 83+ Rare Gold Players Pack / 100 SP,Play 10 matches in the Bundesliga TOTS Exhibition event.,https://www.fut.gg/objectives/live-events/861-bundesliga-tots-exhibition/
,No,O014-01,Any Ultimate Team mode,Nike Wildcard Challenge - EA SPORTS FC 26 Objectives,Expires in 6 days,5/14 02:00,2026-05-14T02:00+09:00,Score 3,-,USA,USA: Goal 3회,-,-,-,1,No,,2X 80+ Rare Gold Players Pack / 3X 80+ Rare Gold Players Pack,Score 3 goals in any Ultimate Team game mode using a USA player.,https://www.fut.gg/objectives/campaigns/826-nike-wildcard-challenge/
,No,O014-02,Any Ultimate Team mode,Nike Wildcard Challenge - EA SPORTS FC 26 Objectives,Expires in 6 days,5/14 02:00,2026-05-14T02:00+09:00,Score 5,-,USA,USA: Goal 5회,-,-,-,1,No,,3X 80+ Rare Gold Players Pack / 1 Of 3 80+ Rare Gold Players,Score 5 goals in any Ultimate Team game mode using a USA player.,https://www.fut.gg/objectives/campaigns/826-nike-wildcard-challenge/
,No,O014-03,Any Ultimate Team mode,Nike Wildcard Challenge - EA SPORTS FC 26 Objectives,Expires in 6 days,5/14 02:00,2026-05-14T02:00+09:00,Win 3,USA ≥1,-,-,-,-,Win 3,3,No,,1 Of 3 80+ Rare Gold Players,Win 3 matches in any Ultimate Team game mode while having min. 1 player from the USA in your starting 11.,https://www.fut.gg/objectives/campaigns/826-nike-wildcard-challenge/
,No,O014-04,Any Ultimate Team mode,Nike Wildcard Challenge - EA SPORTS FC 26 Objectives,Expires in 6 days,5/14 02:00,2026-05-14T02:00+09:00,Play 3,USA ≥1,-,-,-,-,Play 3,3,No,,,Play 3 matches in any Ultimate Team game mode while having min. 1 player from the USA in your starting 11.,https://www.fut.gg/objectives/campaigns/826-nike-wildcard-challenge/
,No,O015-01,Unspecified / Check Raw,Season 7 Spirit of Africa Weekly Play Completionist - EA SPORTS FC 26 Objectives,Expires in 27 days,6/4 02:00,2026-06-04T02:00+09:00,Complete the Season 7 Spirit of Africa W,-,-,-,-,-,-,1,No,,91+ Tots Player Pack,Complete the Season 7 Spirit of Africa Weekly Play objective to earn bonus rewards! All rewards are untradeable.,https://www.fut.gg/objectives/live-events/854-season-7-spirit-of-africa-weekly-play-completionist/
,No,O015-02,Unspecified / Check Raw,Season 7 Spirit of Africa Weekly Play Completionist - EA SPORTS FC 26 Objectives,Expires in 27 days,6/4 02:00,2026-06-04T02:00+09:00,Complete the Season 7 Spirit of Africa W,-,-,-,-,-,-,1,No,,2X 86+ Rare Gold Players Pack / 3X 86+ Rare Gold Players Pack,Complete the Season 7 Spirit of Africa Weekly Play Objective 1 time.,https://www.fut.gg/objectives/live-events/854-season-7-spirit-of-africa-weekly-play-completionist/
,No,O015-03,Unspecified / Check Raw,Season 7 Spirit of Africa Weekly Play Completionist - EA SPORTS FC 26 Objectives,Expires in 27 days,6/4 02:00,2026-06-04T02:00+09:00,Complete the Season 7 Spirit of Africa W,-,-,-,-,-,-,1,No,,3X 86+ Rare Gold Players Pack / Evo Unlock,Complete the Season 7 Spirit of Africa Weekly Play Objective 2 times.,https://www.fut.gg/objectives/live-events/854-season-7-spirit-of-africa-weekly-play-completionist/
,No,O015-04,Unspecified / Check Raw,Season 7 Spirit of Africa Weekly Play Completionist - EA SPORTS FC 26 Objectives,Expires in 27 days,6/4 02:00,2026-06-04T02:00+09:00,Complete the Season 7 Spirit of Africa W,-,-,-,-,-,-,1,No,,Evo Unlock / 5X 87+ Rare Gold Players Pack,Complete the Season 7 Spirit of Africa Weekly Play Objective 3 times.,https://www.fut.gg/objectives/live-events/854-season-7-spirit-of-africa-weekly-play-completionist/
,No,O015-05,Unspecified / Check Raw,Season 7 Spirit of Africa Weekly Play Completionist - EA SPORTS FC 26 Objectives,Expires in 27 days,6/4 02:00,2026-06-04T02:00+09:00,Complete the Season 7 Spirit of Africa W,-,-,-,-,-,-,1,No,,5X 87+ Rare Gold Players Pack / Efigs Tots Player Pack,Complete the Season 7 Spirit of Africa Weekly Play Objective 4 times.,https://www.fut.gg/objectives/live-events/854-season-7-spirit-of-africa-weekly-play-completionist/
,No,O015-06,Unspecified / Check Raw,Season 7 Spirit of Africa Weekly Play Completionist - EA SPORTS FC 26 Objectives,Expires in 27 days,6/4 02:00,2026-06-04T02:00+09:00,Complete the Season 7 Spirit of Africa W,-,-,-,-,-,-,1,No,,Efigs Tots Player Pack / 10X 86+ Rare Gold Players Pack,Complete the Season 7 Spirit of Africa Weekly Play Objective 5 times.,https://www.fut.gg/objectives/live-events/854-season-7-spirit-of-africa-weekly-play-completionist/
,No,O015-07,Unspecified / Check Raw,Season 7 Spirit of Africa Weekly Play Completionist - EA SPORTS FC 26 Objectives,Expires in 27 days,6/4 02:00,2026-06-04T02:00+09:00,Complete the Season 7 Spirit of Africa W,-,-,-,-,-,-,1,No,,10X 86+ Rare Gold Players Pack,Complete the Season 7 Spirit of Africa Weekly Play Objective 6 times.,https://www.fut.gg/objectives/live-events/854-season-7-spirit-of-africa-weekly-play-completionist/
,No,O017-01,Unspecified / Check Raw,S7 Spirit of Africa League - EA SPORTS FC 26 Objectives,Expires in 27 days,6/4 02:00,2026-06-04T02:00+09:00,Play 5,-,-,-,-,-,Play 5,5,No,,3X 84+ Rare Gold Players Pack / 3X 86+ Rare Gold Players Pack,Play 5 matches in the Season 7 Spirit of Africa League.,https://www.fut.gg/objectives/live-events/824-s7-spirit-of-africa-league/
,No,O017-02,Unspecified / Check Raw,S7 Spirit of Africa League - EA SPORTS FC 26 Objectives,Expires in 27 days,6/4 02:00,2026-06-04T02:00+09:00,Play 10,-,-,-,-,-,Play 10,10,No,,3X 86+ Rare Gold Players Pack / 5X 87+ Rare Gold Players Pack,Play 10 matches in the Season 7 Spirit of Africa League.,https://www.fut.gg/objectives/live-events/824-s7-spirit-of-africa-league/
,No,O017-03,Unspecified / Check Raw,S7 Spirit of Africa League - EA SPORTS FC 26 Objectives,Expires in 27 days,6/4 02:00,2026-06-04T02:00+09:00,Play 20,-,-,-,-,-,Play 20,20,No,,5X 87+ Rare Gold Players Pack / 5X 88+ Rare Gold Players Pack,Play 20 matches in the Season 7 Spirit of Africa League.,https://www.fut.gg/objectives/live-events/824-s7-spirit-of-africa-league/
,No,O017-04,Unspecified / Check Raw,S7 Spirit of Africa League - EA SPORTS FC 26 Objectives,Expires in 27 days,6/4 02:00,2026-06-04T02:00+09:00,Score in 25,-,-,Any: 25경기 각 Goal 1회,-,-,-,25,Yes,,5X 88+ Rare Gold Players Pack / Evo Unlock,Score at least 1 goal in 25 separate matches in the Season 7 Spirit of Africa League.,https://www.fut.gg/objectives/live-events/824-s7-spirit-of-africa-league/
,No,O017-05,Unspecified / Check Raw,S7 Spirit of Africa League - EA SPORTS FC 26 Objectives,Expires in 27 days,6/4 02:00,2026-06-04T02:00+09:00,Score in 30,-,-,Any: 30경기 각 Goal 1회,-,-,-,30,Yes,,Evo Unlock,Score at least 1 goal in 30 separate matches in the Season 7 Spirit of Africa League to earn an EVO consumable. All EVO details can be previewed.,https://www.fut.gg/objectives/live-events/824-s7-spirit-of-africa-league/
